rank,name,syllables
866,Davina,0
867,Rhea,0
868,Sariyah,0
869,Noor,0
870,Danica,0
871,Kathleen,0
872,Lillianna,0
873,Lindsey,0
874,Maxine,0
875,Paulina,0
876,Hailee,0
877,Harleigh,0
878,Nancy,0
879,Jessa,0
880,Raquel,0
881,Raylee,0
882,Zainab,0
883,Chana,0
884,Lisa,0
885,Heavenly,0
886,Oaklynn,0
887,Aminah,0
888,Emmalynn,0
889,Patricia,0
890,India,0
891,Janessa,0
892,Paloma,0
893,Ramona,0
894,Sandra,0
895,Abril,0
896,Emmaline,0
897,Itzayana,0
898,Kassandra,0
899,Vienna,0
900,Marleigh,0
901,Kailyn,0
902,Novalee,0
903,Rosalyn,0
904,Hadleigh,0
905,Luella,0
906,Taliyah,0
907,Avalyn,0
908,Barbara,0
909,Iliana,0
910,Jana,0
911,Meilani,0
912,Aadhya,0
913,Alannah,0
914,Blaire,0
915,Brenda,0
916,Casey,0
917,Selene,0
918,Lizbeth,0
919,Adrienne,0
920,Annalee,0
921,Malani,0
922,Aliya,0
923,Miley,0
924,Nataly,0
925,Bexley,0
926,Joslyn,0
927,Maliah,0
928,Zion,0
929,Breanna,0
930,Melania,0
931,Estrella,0
932,Ingrid,0
933,Jayden,0
934,Kaya,0
935,Kaylin,0
936,Harmoni,0
937,Arely,0
938,Jazlynn,0
939,Kiana,0
940,Dana,0
941,Mylah,0
942,Oaklee,0
943,Ailani,0
944,Kailee,0
945,Legacy,0
946,Marjorie,0
947,Paityn,0
948,Courtney,0
949,Ellianna,0
950,Jurnee,0
951,Karlie,0
952,Evalyn,0
953,Holland,0
954,Kenya,0
955,Magdalena,0
956,Carla,0
957,Halle,0
958,Aryanna,0
959,Kaiya,0
960,Kimora,0
961,Naya,0
962,Saoirse,0
963,Susan,0
964,Desiree,0
965,Ensley,0
966,Renee,0
967,Esperanza,0
968,Treasure,0
969,Caylee,0
970,Ellison,0
971,Kristina,0
972,Adilynn,0
973,Anabelle,0
974,Egypt,0
975,Spencer,0
976,Tegan,0
977,Aranza,0
978,Vada,0
979,Emerald,0
980,Florence,0
981,Marlowe,0
982,Micah,0
983,Sonia,0
984,Sunny,0
985,Tara,0
986,Riya,0
987,Yara,0
988,Alisa,0
989,Nathalia,0
990,Yamileth,0
991,Saanvi,0
992,Samira,0
993,Sylvie,0
994,Brenna,0
995,Carlee,0
996,Jenny,0
997,Miya,0
998,Monserrat,0
999,Zendaya,0
1000,Alora,0
